time,survival,confidence_lower,confidence_upper
0.0,1.0,1.0,1.0
77.05936911573149,1.0,1.0,1.0
88.93603623199633,1.0,1.0,1.0
93.74471635522404,1.0,1.0,1.0
102.11626919871895,1.0,1.0,1.0
107.34913427198732,1.0,1.0,1.0
109.99208060104046,1.0,1.0,1.0
111.35961698731757,1.0,1.0,1.0
113.04459273643394,1.0,1.0,1.0
118.84635264237356,1.0,1.0,1.0
119.33722299371664,1.0,1.0,1.0
120.18673170202536,1.0,1.0,1.0
120.22990153751093,1.0,1.0,1.0
120.45045640168348,1.0,1.0,1.0
122.92664300565772,1.0,1.0,1.0
125.75485937659316,1.0,1.0,1.0
132.03426012643538,1.0,1.0,1.0
136.05754921495924,1.0,1.0,1.0
138.30091155050283,1.0,1.0,1.0
140.08783993151897,1.0,1.0,1.0
141.94730150013996,1.0,1.0,1.0
144.08508070285092,1.0,1.0,1.0
145.49079197955686,1.0,1.0,1.0
146.44341223209966,1.0,1.0,1.0
147.2333896744835,1.0,1.0,1.0
148.34640874598097,1.0,1.0,1.0
150.42279545056647,1.0,1.0,1.0
152.65385814826655,1.0,1.0,1.0
153.25144751693804,1.0,1.0,1.0
154.4569493596618,1.0,1.0,1.0
155.6035808264237,1.0,1.0,1.0
157.6900578958163,1.0,1.0,1.0
158.79927464786402,1.0,1.0,1.0
158.83851654020006,1.0,1.0,1.0
160.30957431974682,1.0,1.0,1.0
162.9929400492151,1.0,1.0,1.0
164.441797189648,1.0,1.0,1.0
164.60219741271968,1.0,1.0,1.0
165.53418112643166,1.0,1.0,1.0
167.4255749167153,1.0,1.0,1.0
168.53676026411827,1.0,1.0,1.0
169.51070422778398,1.0,1.0,1.0
169.85622321912896,1.0,1.0,1.0
170.8088952492771,1.0,1.0,1.0
171.18340824732255,1.0,1.0,1.0
171.79121466395128,1.0,1.0,1.0
173.44359059835975,1.0,1.0,1.0
174.7888626986509,1.0,1.0,1.0
175.14677268606985,1.0,1.0,1.0
175.41074001098647,1.0,1.0,1.0
176.4394500969465,1.0,1.0,1.0
177.76081568923476,1.0,1.0,1.0
178.85473089611185,1.0,1.0,1.0
181.17851524577415,1.0,1.0,1.0
181.39942484698176,1.0,1.0,1.0
182.0829397164955,1.0,1.0,1.0
182.1166679680232,1.0,1.0,1.0
182.34868994154053,1.0,1.0,1.0
182.3735630597222,1.0,1.0,1.0
185.60700608846727,1.0,1.0,1.0
186.855761508497,1.0,1.0,1.0
187.5841699998656,1.0,1.0,1.0
188.50708640904895,1.0,1.0,1.0
188.54226479095496,1.0,1.0,1.0
189.4968581416662,1.0,1.0,1.0
189.6469014481009,1.0,1.0,1.0
190.62986638190284,1.0,1.0,1.0
191.85633240956824,1.0,1.0,1.0
192.8118167694457,1.0,1.0,1.0
195.03676151711585,1.0,1.0,1.0
195.4542865141826,1.0,1.0,1.0
195.47393493818643,1.0,1.0,1.0
195.6026025143399,1.0,1.0,1.0
195.83146500871445,1.0,1.0,1.0
195.98090429791253,1.0,1.0,1.0
196.82851042189745,1.0,1.0,1.0
197.6343216504293,1.0,1.0,1.0
197.6401278424591,1.0,1.0,1.0
197.82215850978497,1.0,1.0,1.0
198.35558178578484,1.0,1.0,1.0
199.72904133516724,1.0,1.0,1.0
200.0037778212778,1.0,1.0,1.0
200.36675564511532,1.0,1.0,1.0
201.18810110485515,1.0,1.0,1.0
201.22757370696016,1.0,1.0,1.0
202.3753868916698,1.0,1.0,1.0
204.0581258207635,1.0,1.0,1.0
204.0721471705688,1.0,1.0,1.0
205.56445104020963,1.0,1.0,1.0
206.462641475484,1.0,1.0,1.0
207.77783533165749,1.0,1.0,1.0
210.02221570930388,1.0,1.0,1.0
210.07895132906913,1.0,1.0,1.0
210.1178487176284,1.0,1.0,1.0
210.52682629639676,1.0,1.0,1.0
211.39560208962,1.0,1.0,1.0
211.87782398121453,1.0,1.0,1.0
212.33854318560907,1.0,1.0,1.0
212.9321398015736,1.0,1.0,1.0
213.0157057306536,1.0,1.0,1.0
213.82406190079777,1.0,1.0,1.0
214.8835004382803,1.0,1.0,1.0
215.1865034448709,1.0,1.0,1.0
215.31896469304823,1.0,1.0,1.0
215.3448910214916,1.0,1.0,1.0
215.9385089619296,1.0,1.0,1.0
216.61182083383213,1.0,1.0,1.0
216.99820450499112,1.0,1.0,1.0
218.20819745336672,1.0,1.0,1.0
218.9090707353394,1.0,1.0,1.0
219.54040934556335,1.0,1.0,1.0
219.61809490747075,1.0,1.0,1.0
220.09969179464156,1.0,1.0,1.0
221.56208576241505,1.0,1.0,1.0
221.8821828982026,1.0,1.0,1.0
222.27309367652745,1.0,1.0,1.0
222.3161740605139,1.0,1.0,1.0
223.07933312059924,1.0,1.0,1.0
223.6038984725298,1.0,1.0,1.0
223.84570097288227,1.0,1.0,1.0
224.0378606345568,1.0,1.0,1.0
224.7871230554253,1.0,1.0,1.0
225.37034450982944,1.0,1.0,1.0
225.83756526374592,1.0,1.0,1.0
226.03125221514304,1.0,1.0,1.0
227.0978619983001,1.0,1.0,1.0
227.60490198916077,1.0,1.0,1.0
228.16195847235812,1.0,1.0,1.0
228.77106419283183,1.0,1.0,1.0
229.55957879936412,1.0,1.0,1.0
230.19752732005324,1.0,1.0,1.0
230.9937911605104,1.0,1.0,1.0
231.80468460095943,1.0,1.0,1.0
232.12741286433535,1.0,1.0,1.0
232.64319126076464,1.0,1.0,1.0
233.4650543054185,1.0,1.0,1.0
233.59422658858463,1.0,1.0,1.0
233.71042460987303,1.0,1.0,1.0
233.7140742035449,1.0,1.0,1.0
233.7606109380768,1.0,1.0,1.0
236.46790337344063,1.0,1.0,1.0
236.55032601216115,1.0,1.0,1.0
236.58608627260665,1.0,1.0,1.0
237.2342327684136,1.0,1.0,1.0
237.3782207831679,1.0,1.0,1.0
237.75373238873837,1.0,1.0,1.0
238.71366026334613,1.0,1.0,1.0
239.72373540841735,1.0,1.0,1.0
240.27720436338612,1.0,1.0,1.0
240.93989266829664,1.0,1.0,1.0
240.961635069705,1.0,1.0,1.0
